STAIDT,site_no,STATION_NAME,LATITUDE,LONGITUDE,FINAL_REFERENCE,DA_SQKM,NHDV2_COMID
T09423350,9423350,CARUTHERS C NR IVANPAH CA,35.244989,-115.298876,Y,0.84,10016922
T10250600,10250600,WILDROSE C NR WILDROSE STATION CA,36.26494685,-117.1786704,N,23.5,20215220
T10250800,10250800,DARWIN C NR DARWIN CA,36.32049645,-117.5239547,N,173,20216276
T10251100,10251100,SALT C NR STOVEPIPE WELLS CA,36.5993918,-117.0136699,N,NA,20223871
T10251300,10251300,"AMARGOSA RIVER AT TECOPA, CA",35.848577,-116.2300238,N,3090,20247268
T10251350,10251350,HORSETHIEF C NR TECOPA CA,35.7810833,-115.898069,N,3.06,20247670
T10252300,10252300,CHINA SPRING C NR MOUNTAIN PASS CA,35.46803824,-115.5091629,NA,0.94,NA
T10253080,10253080,SUNFLOWER WASH NR ESSEX CA,34.55000359,-115.1077524,N,3.31,22625372
T10253320,10253320,QUAIL WASH NR JOSHUA TREE CA,34.11778404,-116.3083436,N,100,22629484
T10253350,10253350,FORTYNINE PALMS C NR TWENTYNINE PALMS CA,34.12000347,-116.0961148,Y,8.55,22630726
T10253540,10253540,CORN SPRINGS WASH NR DESERT CENTER CA,33.62502237,-115.3230362,N,24.1,22635738
T10253600,10253600,EAGLE C A EAGLE MOUTAIN CA,33.862791,-115.5102636,Y,7.71,22635528
T10254050,10254050,SALT C NR MECCA,33.44697395,-115.8433289,N,269,22599679
T10254670,10254670,ALAMO R AT DROP 3 NR CALIPATRIA CA,33.10444444,-115.5441667,NA,NA,22599625
T10254730,10254730,ALAMO R NR NILAND CA,33.19892768,-115.5969343,NA,NA,22598685
T10254970,10254970,NEW R AT INTERNATIONAL BOUNDARY AT CALEXICO CA,32.6658925,-115.5030501,NA,NA,22603541
T10255550,10255550,NEW R NR WESTMORLAND CA,33.10476565,-115.6644382,NA,NA,22598917
T10255700,10255700,SAN FELIPE C NR JULIAN CA,33.11865416,-116.4352927,N,89.2,22597605
T10255800,10255800,COYOTE C NR BORREGO SPRINGS CA,33.3736453,-116.4275137,Y,144,22597421
T10255805,10255805,COYOTE C BL BOX CANYON NR BORREGO SPRINGS CA,33.36503449,-116.41668,N,154,22595335
T10255810,10255810,BORREGO PALM C NR BORREGO SPRINGS CA,33.27892637,-116.4300139,Y,21.8,22595619
T10255850,10255850,VALLECITO C NR JULIAN CA,32.9861588,-116.4202931,N,39.7,22600545
T10255885,10255885,SAN FELIPE C NR WESTMORLAND CA,33.12393453,-115.8530559,N,1693,22598811
T10256400,10256400,SAN GORGONIO R NR WHITE WATER CA,33.91888889,-116.6977778,N,154,22593405
T10256500,10256500,SNOW C NR WHITE WATER CA,33.8705722,-116.681127,N,10.9,22593463
T10256501,10256501,SNOW C AND DIV COMBINED CA,33.8705722,-116.681127,NA,10.9,22593463
T10256550,10256550,SNOW C DIV NR WHITE WATER CA,33.8705722,-116.681127,NA,NA,22593463
T10257499,10257499,FALLS C DIV NR WHITEWATER CA,33.86946114,-116.6716824,NA,4.14,22591931
T10257500,10257500,FALLS C NR WHITEWATER CA,33.86946114,-116.6716824,Y,4.14,22591931
T10257501,10257501,COMBINED FLOW FALLS C NR WHITEWATER + DIV CA,33.86946114,-116.6716824,NA,NA,22591931
T10257548,10257548,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.89890453,-116.6211256,N,264,948100389
T10257549,10257549,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.89890453,-116.6211256,NA,264,948100389
T10257550,10257550,WHITEWATER R A WINDY PT NR WHITEWATER CA,33.8989045,-116.6211256,N,264,948100389
T10257600,10257600,MISSION C NR DESERT HOT SPRINGS CA,34.01112284,-116.6280689,Y,35.6,22590267
T10257710,10257710,CHINO CYN C NR PALM SPRINGS CA,33.8391845,-116.6133486,NA,3.84,22591957
T10257720,10257720,CHINO CYN C BL TRAMWAY NR PALM SPRINGS CA,33.8441843,-116.6052929,N,4.71,22591957
T10257800,10257800,LONG C NR DESERT HOT SPRINGS CA,33.96473451,-116.4438997,N,19.6,22593377
T10258000,10258000,TAHQUITZ C NR PALM SPRINGS CA,33.80501929,-116.5591816,Y,16.9,22593497
T10258100,10258100,PALM CYN C TRIB NR ANZA CA,33.5689166,-116.5127935,Y,0.47,22593629
T10258500,10258500,PALM CYN C NR PALM SPRINGS CA,33.74502178,-116.5355709,Y,93.1,22593537
T10259000,10259000,ANDREAS C NR PALM SPRINGS CA,33.7600211,-116.5500155,Y,8.65,22592131
