FID,ComID,FDate,RESOLUTION,GNIS_ID,GNIS_Name,LengthKM,ReachCode,FLOWDIR,WBAreaComI,FTYPE,FCode,Shape_Leng,ENABLED
44467,21438279,1/28/2008 0:00:00,Medium,45730,Colorado River,1.533000000000000,15030101000003,With Digitized,120049438,ArtificialPath,55800,0.014114378270300,True
44468,21438283,1/28/2008 0:00:00,Medium,45730,Colorado River,0.151000000000000,15030101000003,With Digitized,120049438,ArtificialPath,55800,0.001359935998050,True
44469,21438275,1/28/2008 0:00:00,Medium,45730,Colorado River,1.757000000000000,15030101000004,With Digitized,120049438,ArtificialPath,55800,0.018370811492600,True
44470,21438265,1/28/2008 0:00:00,Medium,45730,Colorado River,0.711000000000000,15030101000007,With Digitized,120049438,ArtificialPath,55800,0.007404335254840,True
44471,21438257,1/28/2008 0:00:00,Medium,45730,Colorado River,3.179000000000000,15030101000008,With Digitized,120049438,ArtificialPath,55800,0.032563995170100,True
44472,21438243,1/28/2008 0:00:00,Medium,45730,Colorado River,1.330000000000000,15030101000009,With Digitized,120049438,ArtificialPath,55800,0.013402963748800,True
44473,945030317,1/28/2008 0:00:00,Medium,45730,Colorado River,4.261000000000000,15030101000010,With Digitized,120049438,ArtificialPath,55800,0.055248483075200,True
44474,945030318,1/28/2008 0:00:00,Medium,45730,Colorado River,1.416000000000000,15030101000010,With Digitized,120049438,ArtificialPath,55800,0.055248483075200,True
44475,21438203,1/28/2008 0:00:00,Medium,45730,Colorado River,0.696000000000000,15030101000011,With Digitized,120049438,ArtificialPath,55800,0.006386372511970,True
44476,21438199,1/28/2008 0:00:00,Medium,45730,Colorado River,0.563000000000000,15030101000012,With Digitized,120049438,ArtificialPath,55800,0.005119101960190,True
44477,21438193,1/28/2008 0:00:00,Medium,45730,Colorado River,2.914000000000000,15030101000013,With Digitized,120049438,ArtificialPath,55800,0.026691977884600,True
44478,21438179,1/28/2008 0:00:00,Medium,45730,Colorado River,2.262000000000000,15030101000016,With Digitized,120049438,ArtificialPath,55800,0.022949138256000,True
44479,21438171,1/28/2008 0:00:00,Medium,45730,Colorado River,5.388000000000000,15030101000018,With Digitized,120049438,ArtificialPath,55800,0.048875049428400,True
44481,21438175,1/28/2008 0:00:00,Medium,45730,Colorado River,0.967000000000000,15030101000018,With Digitized,120049438,ArtificialPath,55800,0.009002462299140,True
44484,21438173,1/28/2008 0:00:00,Medium,45730,Colorado River,8.999000000000001,15030101000018,With Digitized,120049438,ArtificialPath,55800,0.081431481054600,True
44684,21438181,1/28/2008 0:00:00,Medium, , ,0.176000000000000,15030101000308,With Digitized,120049438,ArtificialPath,55800,0.001888411294210,True
