OBJECTID,Permanent_Identifier,FDate,Resolution,GNIS_ID,GNIS_Name,LengthKM,ReachCode,FlowDir,WBArea_Permanent_Identifier,FType,FCode,Shape_Length,Perm_ID,OID_,ComID,TotDASqKM,DivDASqKM
810,8317451,3/17/2008 0:00,3,253725,Elk River,1.732,1.80E+13,1,8316719,558,55800,0.016200798,8317451,19733,8317451,147.3912,147.3912
826,8317425,3/17/2008 0:00,3,223279,Eureka Slough,0.77,1.80E+13,1,8316717,558,55800,0.007995048,8317425,19749,8317425,147.933,147.933
827,8317441,3/17/2008 0:00,3,223279,Eureka Slough,0.334,1.80E+13,1,8316717,558,55800,0.003728999,8317441,19750,8317441,138.5937,138.5937
828,8317433,3/17/2008 0:00,3,223279,Eureka Slough,0.219,1.80E+13,1,8316717,558,55800,0.002434062,8317433,19751,8317433,143.5698,143.5698
829,8317429,3/17/2008 0:00,3,223279,Eureka Slough,0.169,1.80E+13,1,8316717,558,55800,0.00189,8317429,19752,8317429,146.0475,146.0475
830,8317439,3/17/2008 0:00,3,223279,Eureka Slough,1.403,1.80E+13,1,8316717,558,55800,0.016448277,8317439,19753,8317439,141.588,141.588
832,8317443,3/17/2008 0:00,3,223930,Freshwater Slough,0.205,1.80E+13,1,8316717,558,55800,0.002123162,8317443,19755,8317443,125.3988,125.3988
862,8317377,3/17/2008 0:00,3,217920,Mad River,4.633,1.80E+13,1,8316695,558,55800,0.04531201,8317377,19785,8317377,1281.1725,1281.1725
863,8317553,3/17/2008 0:00,3,217920,Mad River,0.116,1.80E+13,1,8316695,558,55800,0.001130031,8317553,19786,8317553,1281.2049,1281.2049
880,8319365,3/17/2008 0:00,3,217920,Mad River,0.135,1.80E+13,1,8317797,558,55800,0.001298111,8319365,19803,8319365,1028.1483,1028.1483
882,8319369,3/17/2008 0:00,3,217920,Mad River,0.713,1.80E+13,1,8317797,558,55800,0.006762055,8319369,19805,8319369,1028.1132,1028.1132
1027,8319367,3/17/2008 0:00,3, , ,0.048,1.80E+13,1,8317797,558,55800,0.00057132,8319367,19950,8319367,1028.1132,0
1341,8323683,3/17/2008 0:00,3, , ,0.1,1.80E+13,1,8316699,558,55800,0.001197658,8323683,20257,8323683,16.7706,0.0837
1342,8323693,3/17/2008 0:00,3, , ,0.201,1.80E+13,1,8316699,558,55800,0.001857665,8323693,20258,8323693,16.6995,0.0126
2006,8317415,3/17/2008 0:00,3, , ,1.139,1.80E+13,1,8316699,558,55800,0.011837266,8317415,15908,8317415,22.8303,22.8303
2007,8317403,3/17/2008 0:00,3, , ,0.129,1.80E+13,1,8316699,558,55800,0.001245958,8317403,15909,8317403,21.4686,21.4686
2008,8317409,3/17/2008 0:00,3, , ,0.553,1.80E+13,1,8316699,558,55800,0.005873078,8317409,15910,8317409,21.6045,0.1359
2009,8323713,3/17/2008 0:00,3, , ,0.067,1.80E+13,1,8316699,558,55800,0.000804299,8323713,15911,8323713,16.6869,0
2010,8323701,3/17/2008 0:00,3, , ,0.516,1.80E+13,1,8316699,558,55800,0.004817961,8323701,15912,8323701,17.7849,11.5245
2011,8317397,3/17/2008 0:00,3, , ,0.485,1.80E+13,1,8316699,558,55800,0.004965303,8317397,15913,8317397,17.5257,11.2653
2012,8323681,3/17/2008 0:00,3, , ,0.076,1.80E+13,1,8316699,558,55800,0.00089163,8323681,15914,8323681,16.6968,0.0099
2013,8317385,3/17/2008 0:00,3, , ,0.28,1.80E+13,1,8316699,558,55800,0.002653903,8317385,15915,8317385,9.2088,9.2088
2014,8317547,3/17/2008 0:00,3, , ,0.167,1.80E+13,1,8316699,558,55800,0.001605694,8317547,15916,8317547,9.0504,9.0504
2015,8323689,3/17/2008 0:00,3, , ,0.05,1.80E+13,1,8316699,558,55800,0.000465366,8323689,15917,8323689,9.2628,9.2628
2016,8317411,3/17/2008 0:00,3, , ,0.22,1.80E+13,1,8316699,558,55800,0.002597635,8317411,15918,8317411,21.8349,21.8349
2018,8317405,3/17/2008 0:00,3, , ,0.071,1.80E+13,1,8316699,558,55800,0.000843033,8317405,15920,8317405,21.4947,21.4947
2020,8317549,3/17/2008 0:00,3, , ,0.082,1.80E+13,1,8316699,558,55800,0.000881402,8317549,15922,8317549,7.1793,7.1793
2021,8317381,3/17/2008 0:00,3, , ,0.085,1.80E+13,1,8316699,558,55800,0.001015265,8317381,15923,8317381,7.1838,7.1838
2023,8323685,3/17/2008 0:00,3, , ,0.041,1.80E+13,1,8316699,558,55800,0.000462383,8323685,15925,8323685,9.189,0.1944
2024,8323711,3/17/2008 0:00,3, , ,0.367,1.80E+13,1,8316699,558,55800,0.003459916,8323711,15926,8323711,9.1791,0.1845
2025,8317551,3/17/2008 0:00,3, , ,0.132,1.80E+13,1,8316699,558,55800,0.001491972,8317551,15927,8317551,8.9946,0
2027,8317545,4/25/2008 0:00,3, , ,0.05,1.80E+13,1,8316699,558,55800,0.000504538,8317545,15929,8317545,9.0504,0
2028,8317383,4/25/2008 0:00,3, , ,0.047,1.80E+13,1,8316699,558,55800,0.000496205,8317383,15930,8317383,9.0738,0.0234
2030,8317391,3/17/2008 0:00,3, , ,0.173,1.80E+13,1,8316699,558,55800,0.001842559,8317391,15932,8317391,6.1146,6.1146
2032,8317407,3/17/2008 0:00,3,227181,Liscom Slough,0.175,1.80E+13,1,8316699,558,55800,0.001902293,8317407,15934,8317407,3.213,3.213
2045,8317437,3/17/2008 0:00,3, , ,0.109,1.80E+13,1,8316717,558,55800,0.001032687,8317437,15947,8317437,2.2383,2.2383
2090,8317435,3/17/2008 0:00,3, , ,0.161,1.80E+13,1,8316717,558,55800,0.001494298,8317435,15992,8317435,1.9323,1.9323
2092,8317431,3/17/2008 0:00,3, , ,0.135,1.80E+13,1,8316717,558,55800,0.00130153,8317431,15994,8317431,2.4372,2.4372
2094,8317427,3/17/2008 0:00,3, , ,0.128,1.80E+13,1,8316717,558,55800,0.001287276,8317427,15996,8317427,1.6101,1.6101
2140,8317535,3/17/2008 0:00,3, , ,1.171,1.80E+13,1,8316723,558,55800,0.013075067,8317535,16042,8317535,6.5034,6.5034
2180,8323709,3/17/2008 0:00,3, , ,1.027,1.80E+13,1,8316717,558,55800,0.011374147,8323709,16081,8323709,13.0734,13.0734
2181,8317445,3/17/2008 0:00,3, , ,0.074,1.80E+13,1,8316717,558,55800,0.000831685,8317445,16082,8317445,13.0923,13.0923
2182,8317541,3/17/2008 0:00,3, , ,0.976,1.80E+13,1,8316717,558,55800,0.010287978,8317541,16083,8317541,0.3555,0.3555
2183,8317543,3/17/2008 0:00,3, , ,0.096,1.80E+13,1,8316717,558,55800,0.001031107,8317543,16084,8317543,0.3672,0.3672
2223,8317401,3/17/2008 0:00,3, , ,0.038,1.80E+13,1,8316699,558,55800,0.000450157,8317401,16122,8317401,20.3409,9.9144
2224,8323705,3/17/2008 0:00,3, , ,0.642,1.80E+13,1,8316699,558,55800,0.006060495,8323705,16123,8323705,16.9884,6.5619
2225,8317399,3/17/2008 0:00,3, , ,0.073,1.80E+13,1,8316699,558,55800,0.000666599,8317399,16124,8317399,16.6932,6.2667
2226,8323707,3/17/2008 0:00,3, , ,0.497,1.80E+13,1,8316699,558,55800,0.005581803,8323707,16125,8323707,20.3373,9.9108
2227,8323703,3/17/2008 0:00,3, , ,0.111,1.80E+13,1,8316699,558,55800,0.001017787,8323703,16126,8323703,16.7364,6.3099
2228,8317387,3/17/2008 0:00,3, , ,1.211,1.80E+13,1,8316699,558,55800,0.011803482,8317387,16127,8317387,10.4265,10.4265
2229,8317393,3/17/2008 0:00,3, , ,0.282,1.80E+13,1,8316699,558,55800,0.002826456,8317393,16128,8317393,10.4589,0.0324
2230,8323695,3/17/2008 0:00,3, , ,0.259,1.80E+13,1,8316699,558,55800,0.002373913,8323695,16129,8323695,16.6869,6.2604
2231,8317389,3/17/2008 0:00,3, , ,0.076,1.80E+13,1,8316699,558,55800,0.000870556,8317389,16130,8317389,10.4625,10.4625
2232,8323699,3/17/2008 0:00,3, , ,0.223,1.80E+13,1,8316699,558,55800,0.002037586,8323699,16131,8323699,11.061,11.061
2234,8323691,3/17/2008 0:00,3, , ,0.039,1.80E+13,1,8316699,558,55800,0.000409642,8323691,16133,8323691,11.1384,11.1384
2236,8317539,3/17/2008 0:00,3, , ,0.075,1.80E+13,1,8316717,558,55800,0.000677613,8317539,16135,8317539,12.1491,12.1491
2241,8317379,3/17/2008 0:00,3, , ,0.119,1.80E+13,1,8316699,558,55800,0.001089612,8317379,16139,8317379,1.7973,1.7973
2242,8317555,3/17/2008 0:00,3, , ,0.042,1.80E+13,1,8316699,558,55800,0.000401165,8317555,16140,8317555,8.9946,8.9946
4581,2702541,3/17/2008 0:00,3,251974,Eel River,0.282,1.80E+13,1,8317371,558,55800,0.002808264,2702541,18458,2702541,9535.6458,9535.6458
4582,2702699,3/17/2008 0:00,3,251974,Eel River,0.626,1.80E+13,1,8317371,558,55800,0.006689812,2702699,18459,2702699,9386.8668,9382.9653
4583,2702543,3/17/2008 0:00,3,251974,Eel River,0.04,1.80E+13,1,8317371,558,55800,0.000382783,2702543,18460,2702543,9497.6145,9493.713
4584,2702717,3/17/2008 0:00,3,251974,Eel River,3.083,1.80E+13,1,8317371,558,55800,0.033230805,2702717,18461,2702717,9352.9593,9352.9593
4585,2702721,3/17/2008 0:00,3,251974,Eel River,0.478,1.80E+13,1,8317371,558,55800,0.004389073,2702721,18462,2702721,9293.3001,9293.3001
4586,2702635,3/17/2008 0:00,3,251974,Eel River,0.168,1.80E+13,1,8317371,558,55800,0.00155379,2702635,18463,2702635,8174.6622,8174.6622
